Student_ID,Name,Department,Semester,Mathematics,Physics,Chemistry,English,Programming,Attendance_Percent,Total_Score,Average_Score,Performance_Category
STU0001,Student_1,Mechanical,2,99,81,75,75,99,95,429,85.8,Excellent
STU0002,Student_2,Civil,2,79,72,68,62,66,75,347,69.4,Good
STU0003,Student_3,Computer Science,4,68,64,60,78,69,81,339,67.8,Good
STU0004,Student_4,Mechanical,2,96,98,83,94,91,98,462,92.4,Excellent
STU0005,Student_5,Mechanical,2,44,36,31,26,27,56,164,32.8,At-Risk
STU0006,Student_6,Civil,6,98,91,91,76,76,96,432,86.4,Excellent
STU0007,Student_7,Computer Science,4,79,75,75,93,76,89,398,79.6,Excellent
STU0008,Student_8,Computer Science,6,65,63,70,76,65,74,339,67.8,Good
STU0009,Student_9,Mechanical,6,65,70,75,75,60,78,345,69.0,Good
STU0010,Student_10,Electronics,4,65,75,62,79,63,88,344,68.8,Good
STU0011,Student_11,Mechanical,1,63,64,51,64,53,60,295,59.0,Average
STU0012,Student_12,Mechanical,6,66,77,67,60,70,87,340,68.0,Good
STU0013,Student_13,Mechanical,5,34,27,31,40,40,64,172,34.4,At-Risk
STU0014,Student_14,Mechanical,5,76,61,60,75,71,74,343,68.6,Good
STU0015,Student_15,Civil,2,47,33,33,27,43,55,183,36.6,At-Risk
STU0016,Student_16,Computer Science,5,64,45,64,55,61,67,289,57.8,Average
STU0017,Student_17,Civil,2,52,64,47,60,47,77,270,54.0,Average
STU0018,Student_18,Civil,1,92,76,96,77,90,97,431,86.2,Excellent
STU0019,Student_19,Civil,4,75,78,75,88,95,88,411,82.2,Excellent
STU0020,Student_20,Mechanical,4,67,66,62,76,60,85,331,66.2,Good
STU0021,Student_21,Electronics,4,93,96,97,96,88,98,470,94.0,Excellent
STU0022,Student_22,Computer Science,5,37,43,46,32,26,60,184,36.8,At-Risk
STU0023,Student_23,Electronics,1,74,60,64,75,78,73,351,70.2,Good
STU0024,Student_24,Civil,5,91,91,86,88,95,90,451,90.2,Excellent
STU0025,Student_25,Civil,5,68,64,76,73,62,70,343,68.6,Good
STU0026,Student_26,Electronics,1,95,97,75,77,92,93,436,87.2,Excellent
STU0027,Student_27,Electronics,1,62,67,73,77,74,71,353,70.6,Good
STU0028,Student_28,Electronics,1,69,61,76,67,60,78,333,66.6,Good
STU0029,Student_29,Civil,1,60,51,54,47,62,72,274,54.8,Average
STU0030,Student_30,Civil,4,81,99,78,87,94,85,439,87.8,Excellent
STU0031,Student_31,Computer Science,3,88,90,88,86,93,91,445,89.0,Excellent
STU0032,Student_32,Computer Science,3,76,76,97,96,93,93,438,87.6,Excellent
STU0033,Student_33,Civil,1,96,96,91,94,84,90,461,92.2,Excellent
STU0034,Student_34,Electronics,3,70,64,60,67,71,81,332,66.4,Good
STU0035,Student_35,Electronics,3,63,65,72,79,74,72,353,70.6,Good
STU0036,Student_36,Computer Science,1,79,75,72,77,69,88,372,74.4,Good
STU0037,Student_37,Civil,3,63,49,53,56,45,60,266,53.2,Average
STU0038,Student_38,Computer Science,5,75,67,72,60,75,76,349,69.8,Good
STU0039,Student_39,Computer Science,2,49,47,56,60,63,64,275,55.0,Average
STU0040,Student_40,Mechanical,2,88,79,89,91,88,98,435,87.0,Excellent
STU0041,Student_41,Mechanical,1,56,60,60,51,48,60,275,55.0,Average
STU0042,Student_42,Mechanical,4,64,69,64,63,61,89,321,64.2,Good
STU0043,Student_43,Electronics,1,78,60,64,72,63,85,337,67.4,Good
STU0044,Student_44,Civil,4,97,76,91,94,98,96,456,91.2,Excellent
STU0045,Student_45,Civil,2,60,60,78,70,64,81,332,66.4,Good
STU0046,Student_46,Civil,1,60,67,69,70,71,82,337,67.4,Good
STU0047,Student_47,Civil,6,88,76,93,92,77,91,426,85.2,Excellent
STU0048,Student_48,Mechanical,5,82,84,76,93,83,91,418,83.6,Excellent
STU0049,Student_49,Electronics,3,95,92,87,85,98,88,457,91.4,Excellent
STU0050,Student_50,Electronics,4,63,69,64,68,62,86,326,65.2,Good
STU0051,Student_51,Mechanical,6,48,62,61,51,49,71,271,54.2,Average
STU0052,Student_52,Electronics,3,72,62,68,76,76,89,354,70.8,Good
STU0053,Student_53,Mechanical,3,57,63,61,48,56,68,285,57.0,Average
STU0054,Student_54,Civil,1,53,51,58,64,63,74,289,57.8,Average
STU0055,Student_55,Mechanical,3,79,77,86,99,94,95,435,87.0,Excellent
STU0056,Student_56,Civil,5,95,97,90,99,81,97,462,92.4,Excellent
STU0057,Student_57,Civil,6,31,38,29,27,47,50,172,34.4,At-Risk
STU0058,Student_58,Computer Science,3,59,56,53,54,56,76,278,55.6,Average
STU0059,Student_59,Mechanical,1,81,88,87,82,84,93,422,84.4,Excellent
STU0060,Student_60,Computer Science,5,46,49,49,50,63,67,257,51.4,Average
STU0061,Student_61,Mechanical,2,60,79,76,66,72,73,353,70.6,Good
STU0062,Student_62,Mechanical,6,78,71,66,69,78,76,362,72.4,Good
STU0063,Student_63,Computer Science,3,72,72,77,79,67,78,367,73.4,Good
STU0064,Student_64,Computer Science,1,47,57,61,45,50,65,260,52.0,Average
STU0065,Student_65,Mechanical,2,57,57,59,60,55,64,288,57.6,Average
STU0066,Student_66,Electronics,2,78,79,77,74,68,86,376,75.2,Excellent
STU0067,Student_67,Civil,4,45,47,60,55,56,69,263,52.6,Average
STU0068,Student_68,Computer Science,5,32,30,36,48,45,47,191,38.2,At-Risk
STU0069,Student_69,Civil,3,78,82,92,79,83,88,414,82.8,Excellent
STU0070,Student_70,Electronics,1,46,41,33,25,45,59,190,38.0,At-Risk
STU0071,Student_71,Electronics,4,75,72,73,62,65,87,347,69.4,Good
STU0072,Student_72,Electronics,5,64,74,61,69,77,82,345,69.0,Good
STU0073,Student_73,Computer Science,4,98,75,96,75,92,99,436,87.2,Excellent
STU0074,Student_74,Electronics,6,95,99,96,91,87,85,468,93.6,Excellent
STU0075,Student_75,Computer Science,5,62,60,75,65,76,74,338,67.6,Good
STU0076,Student_76,Electronics,5,30,27,45,47,29,60,178,35.6,At-Risk
STU0077,Student_77,Civil,3,34,43,41,45,38,48,201,40.2,At-Risk
STU0078,Student_78,Civil,5,93,87,87,78,75,85,420,84.0,Excellent
STU0079,Student_79,Mechanical,4,46,52,51,46,47,77,242,48.4,Average
STU0080,Student_80,Civil,5,46,36,29,49,41,55,201,40.2,At-Risk
STU0081,Student_81,Mechanical,3,74,64,73,61,70,88,342,68.4,Good
STU0082,Student_82,Civil,3,26,30,42,26,42,54,166,33.2,At-Risk
STU0083,Student_83,Computer Science,6,61,79,65,60,74,79,339,67.8,Good
STU0084,Student_84,Civil,4,29,28,34,48,41,49,180,36.0,At-Risk
STU0085,Student_85,Mechanical,2,64,49,46,50,46,72,255,51.0,Average
STU0086,Student_86,Mechanical,2,85,90,85,93,89,93,442,88.4,Excellent
STU0087,Student_87,Electronics,5,75,70,75,67,63,77,350,70.0,Good
STU0088,Student_88,Computer Science,6,47,47,62,63,63,64,282,56.4,Average
STU0089,Student_89,Civil,1,69,65,60,64,68,81,326,65.2,Good
STU0090,Student_90,Electronics,5,76,91,88,87,83,94,425,85.0,Excellent
STU0091,Student_91,Civil,6,59,55,60,61,48,60,283,56.6,Average
STU0092,Student_92,Civil,4,77,94,89,89,98,90,447,89.4,Excellent
STU0093,Student_93,Electronics,4,97,88,98,76,87,94,446,89.2,Excellent
STU0094,Student_94,Electronics,4,98,93,81,77,89,91,438,87.6,Excellent
STU0095,Student_95,Electronics,4,74,72,77,65,62,88,350,70.0,Good
STU0096,Student_96,Electronics,4,99,97,79,84,81,93,440,88.0,Excellent
STU0097,Student_97,Electronics,6,56,61,57,64,48,69,286,57.2,Average
STU0098,Student_98,Civil,6,57,62,59,48,59,61,285,57.0,Average
STU0099,Student_99,Electronics,3,67,76,71,78,69,78,361,72.2,Good
STU0100,Student_100,Computer Science,2,79,61,72,65,64,70,341,68.2,Good
